,long,lat,variety,seeding_rate,seed_spacing,speed,yield
0,-91.84611,40.37708,0.0,34.8461,6.0003,4.31,176.14575
1,-91.85005,40.37926,0.0,37.2911,5.6069,3.96,201.02584
2,-91.85007,40.37926,0.0,37.2741,5.6095,3.94,260.46495
3,-91.84926,40.37923,1.0,37.8712,5.5211,2.36,208.84195
4,-91.85011,40.37937,1.0,36.1771,5.7796,4.5,142.94654
5,-91.846,40.37897,1.0,35.4261,5.9021,4.5,306.35262
6,-91.8467,40.37619,1.0,38.9782,5.3643,3.67,200.47064
7,-91.8467,40.37618,1.0,38.9892,5.3627,3.53,187.83584
8,-91.8467,40.37615,1.0,38.8882,5.3767,3.57,169.13872
9,-91.8467,40.37614,1.0,38.8092,5.3876,3.55,116.9225
10,-91.8467,40.37611,1.0,38.5692,5.4211,3.58,175.58697
11,-91.8467,40.37609,1.0,38.6582,5.4087,3.59,212.06508
12,-91.84656,40.37598,1.0,5.583,37.4508,2.61,185.77366
13,-91.84651,40.37922,1.0,35.1661,5.9457,3.52,272.29875
14,-91.84999,40.3761,,,,,88.45116
15,-91.84999,40.37611,,,,,102.17352
16,-91.84999,40.37612,,,,,191.42076
17,-91.84999,40.37613,,,,,236.55622
18,-91.84999,40.37614,,,,,224.82237
19,-91.84999,40.37615,,,,,232.42955
20,-91.84999,40.37616,,,,,243.6537
21,-91.84999,40.37618,,,,,247.52076
22,-91.84999,40.37619,,,,,263.67377
23,-91.84999,40.3762,,,,,265.22358
24,-91.84999,40.37622,,,,,254.45705
25,-91.84999,40.37623,,,,,241.0919
26,-91.84999,40.37624,,,,,227.14395
27,-91.84999,40.37626,,,,,215.51843
28,-91.84999,40.37627,,,,,218.5854
29,-91.84999,40.37629,,,,,219.55946
30,-91.84999,40.3763,,,,,237.30068
31,-91.84999,40.37631,,,,,254.52624
32,-91.84999,40.37633,,,,,254.3271
33,-91.84999,40.37634,,,,,256.90301
34,-91.84999,40.37635,,,,,262.54631
35,-91.84999,40.37637,,,,,239.89384
36,-91.84999,40.37638,,,,,232.01663
37,-91.84999,40.37639,,,,,220.53157
38,-91.84999,40.37641,,,,,233.74895
39,-91.84999,40.37642,,,,,243.76802
40,-91.84999,40.37643,,,,,233.75791
41,-91.84999,40.37645,,,,,228.3205
42,-91.84999,40.37646,,,,,240.20222
43,-91.84999,40.37647,,,,,223.62727
44,-91.84999,40.37649,,,,,219.11315
45,-91.84999,40.3765,,,,,234.9373
